0	0	1
1	0	8
2	1	2
3	1	9
4	2	3
5	2	9
6	2	10
7	3	4
8	3	11
9	4	5
10	4	12
11	4	13
12	5	6
13	5	13
14	6	7
15	6	14
16	7	14
17	7	15
18	8	9
19	8	16
20	9	10
21	9	17
22	10	11
23	10	18
24	11	12
25	11	19
26	12	19
27	12	20
28	13	15
29	13	21
30	14	16
31	14	22
32	15	23
33	16	17
34	16	24
35	17	18
36	17	25
37	18	19
38	18	26
39	19	20
40	19	27
41	19	28
42	20	21
43	20	28
44	21	22
45	21	29
46	22	23
47	22	30
48	23	31
49	24	25
50	24	32
51	25	26
52	25	33
53	26	27
54	26	34
55	27	28
56	27	35
57	28	29
58	28	36
59	29	30
60	29	37
61	30	31
62	30	37
63	30	38
64	31	39
65	32	33
66	32	40
67	33	34
68	33	41
69	34	35
70	34	42
71	35	36
72	35	43
73	36	37
74	36	44
75	37	38
76	37	45
77	38	39
78	38	46
79	39	47
80	40	41
81	40	48
82	40	49
83	41	42
84	41	49
85	42	43
86	42	50
87	43	44
88	43	51
89	44	45
90	44	52
91	45	46
92	45	53
93	46	47
94	46	54
95	46	55
96	47	55
97	48	49
98	49	50
99	50	52
100	51	52
101	52	53
102	53	54
103	54	55
