0	0	1	1
1	0	11	6
2	1	2	1
3	1	6	2
4	2	3	8
5	2	7	8
6	3	4	2
7	3	8	4
8	4	5	8
9	4	9	1
10	5	9	3
11	5	10	4
12	6	7	2
13	6	12	4
14	7	8	1
15	7	13	5
16	8	9	10
17	8	14	2
18	9	10	10
19	9	15	2
20	10	16	6
21	11	12	5
22	11	17	6
23	12	13	4
24	12	18	1
25	12	25	1
26	13	14	3
27	13	19	8
28	14	20	5
29	15	16	7
30	15	21	3
31	16	22	9
32	17	18	3
33	17	23	6
34	18	24	3
35	19	20	1
36	19	25	3
37	20	21	5
38	20	26	8
39	21	22	8
40	21	27	6
41	22	28	2
42	23	24	3
43	23	29	1
44	24	25	7
45	24	30	1
46	25	26	2
47	25	31	6
48	26	27	4
49	26	31	7
50	26	32	5
51	27	28	6
52	27	33	3
53	28	34	1
54	29	30	7
55	30	31	6
56	31	32	2
57	32	33	10
58	33	34	3
